id_programa,nombre_programa,nivel_academico,nombre_facultad,modalidad,jornada
58,LICENCIATURA EN MATEMATICAS Y ESTADISTICA,PREGRADO,SECCIONAL DUITAMA,PRESENCIAL,EXTENDIDA
59,LICENCIATURA EN TECNOLOGIA,PREGRADO,SECCIONAL DUITAMA,PRESENCIAL,DIURNA
60,ADMINISTRACION DE EMPRESAS,PREGRADO,SECCIONAL SOGAMOSO,PRESENCIAL,EXTENDIDA
61,CONTADURIA PUBLICA,PREGRADO,SECCIONAL SOGAMOSO,PRESENCIAL,DIURNA
62,FINANZAS Y COMERCIO INTERNACIONAL,PREGRADO,SECCIONAL SOGAMOSO,PRESENCIAL,EXTENDIDA
63,INGENIERIA DE MINAS,PREGRADO,SECCIONAL SOGAMOSO,PRESENCIAL,DIURNA
64,INGENIERIA ELECTRONICA,PREGRADO,SECCIONAL SOGAMOSO,PRESENCIAL,DIURNA
65,INGENIERIA GEOLOGICA,PREGRADO,SECCIONAL SOGAMOSO,PRESENCIAL,DIURNA
66,INGENIERIA INDUSTRIAL,PREGRADO,SECCIONAL SOGAMOSO,PRESENCIAL,DIURNA
67,ESPECIALIZACION EN SEGURIDAD Y CALIDAD ALIMENTARIA,POSGRADO,CIENCIAS,PRESENCIAL,DIURNA - NOCTURNA
68,MAESTRIA EN CIENCIAS BIOLOGICAS,POSGRADO,CIENCIAS,PRESENCIAL,DIURNA - NOCTURNA
69,MAESTRIA EN DESARROLLO RURAL,POSGRADO,CIENCIAS AGROPECUARIAS,PRESENCIAL,DIURNA - NOCTURNA
70,DOCTORADO EN LENGUAJE Y CULTURA,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
71,ESPECIALIZACION EN ARCHIVISTICA,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
72,ESPECIALIZACION EN GERENCIA EDUCACIONAL,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
73,MAESTRIA EN EDUCACION,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
74,MAESTRIA EN GESTION EDUCATIVA,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
75,MAESTRIA EN LINGUISTICA,POSGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA - NOCTURNA
76,ESPECIALIZACION  EN PLANEACION Y GESTION DEL DESARROLLO TERRITORIAL,POSGRADO,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,PRESENCIAL,DIURNA - NOCTURNA
77,ESPECIALIZACION EN FINANZAS,POSGRADO,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,PRESENCIAL,DIURNA - NOCTURNA
