id_estudiante,tipo_iden_est,edad,grupo_edad,genero,estrato,estrato_num,grupo_estrato,origen_geografico,departamento,lugar_expedicion
300,C.C.,29,26-30,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
301,C.C.,24,21-25,M,2,2.0,BAJO,CHOCONTÁ,CHOCONTÁ,VILLAPINZÓN
302,C.C.,25,21-25,M,2,2.0,BAJO,PÁEZ,PÁEZ,PÁEZ
303,C.C.,35,31+,F,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
304,C.C.,29,26-30,M,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
305,C.C.,37,31+,M,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
306,C.C.,27,26-30,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
307,C.C.,22,21-25,M,2,2.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,DUITAMA
308,C.C.,29,26-30,M,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
309,C.C.,28,26-30,F,1,1.0,BAJO,RAMIRIQUÍ,RAMIRIQUÍ,RAMIRIQUÍ
310,C.C.,22,21-25,F,2,2.0,BAJO,TUNJA,TUNJA,CÓMBITA
311,C.C.,32,31+,F,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
312,C.C.,43,31+,M,2,2.0,BAJO,RONDÓN,RONDÓN,RONDÓN
313,C.C.,24,21-25,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
314,C.C.,38,31+,M,1,1.0,BAJO,TUNJA,TUNJA,TUNJA
315,C.C.,40,31+,M,3,3.0,MEDIO,AGRADO,AGRADO,BOGOTÁ D.C.
316,C.C.,24,21-25,M,2,2.0,BAJO,AQUITANIA,AQUITANIA,AQUITANIA
317,C.C.,24,21-25,M,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,SOGAMOSO
318,T.I.,20,16-20,F,2,2.0,BAJO,TASCO,TASCO,TASCO
319,C.C.,29,26-30,M,2,2.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,BOGOTÁ D.C.
320,C.C.,42,31+,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
321,C.C.,25,21-25,M,1,1.0,BAJO,FUNZA,FUNZA,JERICÓ
322,C.C.,22,21-25,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
323,C.C.,30,26-30,M,2,2.0,BAJO,SANTA ROSA DE VITERBO,SANTA,DUITAMA
324,C.C.,28,26-30,M,2,2.0,BAJO,FLORESTA,FLORESTA,FLORESTA
325,C.C.,29,26-30,M,2,2.0,BAJO,SANTA ROSA DE VITERBO,SANTA,BELÉN
326,C.C.,30,26-30,M,2,2.0,BAJO,JERICÓ,JERICÓ,DUITAMA
327,C.C.,23,21-25,M,2,2.0,BAJO,VILLA DE LEYVA,VILLA,SUTAMARCHÁN
328,C.C.,36,31+,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
329,C.C.,26,26-30,F,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
330,C.C.,36,31+,F,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
331,C.C.,27,26-30,F,2,2.0,BAJO,SAMACÁ,SAMACÁ,SAMACÁ
332,C.C.,29,26-30,F,SIN INFORMACIÓN,,,CAPITANEJO,CAPITANEJO,CAPITANEJO
333,C.C.,24,21-25,F,2,2.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,CALDAS
334,C.C.,23,21-25,F,2,2.0,BAJO,YOPAL,YOPAL,AGUAZUL
335,C.C.,27,26-30,F,2,2.0,BAJO,SOCHA,SOCHA,SOCHA
336,C.C.,24,21-25,F,2,2.0,BAJO,PESCA,PESCA,PESCA
337,T.I.,22,21-25,F,3,3.0,MEDIO,SOGAMOSO,SOGAMOSO,SOGAMOSO
338,C.C.,28,26-30,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
339,C.C.,28,26-30,F,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,SOGAMOSO
340,C.C.,23,21-25,F,2,2.0,BAJO,MONGUA,MONGUA,SOGAMOSO
341,C.C.,23,21-25,F,1,1.0,BAJO,SOGAMOSO,SOGAMOSO,AGUAZUL
342,C.C.,22,21-25,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
343,C.C.,23,21-25,M,1,1.0,BAJO,VILLA DE LEYVA,VILLA,VILLA DE LEIVA
344,C.C.,33,31+,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
345,C.C.,27,26-30,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
